,,,TSLA,,,,,,,,Meta,,,,,,,,AMZN,,,,,,,,AAPL,,,
Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,1.266667,1.666667,1.169333,1.592667,1.592667,281494500,,2012-05-18,42.049999,45,38,38.23,38.23,573576400,,1997-05-15,0.121875,0.125,0.096354,0.097917,0.097917,1443120000,,1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099722,469033600
2010-06-30,1.719333,2.028,1.553333,1.588667,1.588667,257806500,,2012-05-21,36.529999,36.66,33,34.029999,34.029999,168192700,,1997-05-16,0.098438,0.098958,0.085417,0.086458,0.086458,294000000,,1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094519,175884800
2010-07-01,1.666667,1.728,1.351333,1.464,1.464,123282000,,2012-05-22,32.610001,33.59,30.940001,31,31,101786600,,1997-05-19,0.088021,0.088542,0.08125,0.085417,0.085417,122136000,,1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087582,105728000
2010-07-02,1.533333,1.54,1.247333,1.28,1.28,77097000,,2012-05-23,31.370001,32.5,31.360001,32,32,73600000,,1997-05-20,0.086458,0.0875,0.081771,0.081771,0.081771,109344000,,1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089749,86441600
2010-07-06,1.333333,1.333333,1.055333,1.074,1.074,103003500,,2012-05-24,32.950001,33.209999,31.77,33.029999,33.029999,50237200,,1997-05-21,0.081771,0.082292,0.06875,0.071354,0.071354,377064000,,1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092351,73449600
2010-07-07,1.093333,1.108667,0.998667,1.053333,1.053333,103825500,,2012-05-25,32.900002,32.950001,31.110001,31.91,31.91,37149800,,1997-05-22,0.071875,0.072396,0.065625,0.069792,0.069792,235536000,,1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097987,48630400
2010-07-08,1.076,1.168,1.038,1.164,1.164,115671000,,2012-05-29,31.48,31.690001,28.65,28.84,28.84,78063400,,1997-05-23,0.070313,0.076042,0.066667,0.075,0.075,318744000,,1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102756,37363200
2010-07-09,1.172,1.193333,1.103333,1.16,1.16,60759000,,2012-05-30,28.700001,29.549999,27.860001,28.190001,28.190001,57267900,,1997-05-27,0.075521,0.082292,0.072917,0.079167,0.079167,173952000,,1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107093,46950400
2010-07-12,1.196667,1.204667,1.133333,1.136667,1.136667,33037500,,2012-05-31,28.549999,29.67,26.83,29.6,29.6,111639200,,1997-05-28,0.08125,0.081771,0.076563,0.076563,0.076563,91488000,,1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112729,48003200
2010-07-13,1.159333,1.242667,1.126667,1.209333,1.209333,40201500,,2012-06-01,28.889999,29.15,27.389999,27.719999,27.719999,41855500,,1997-05-29,0.077083,0.077083,0.073958,0.07526,0.07526,69456000,,1980-12-26,0.158482,0.15904,0.158482,0.158482,0.123135,55574400
2010-07-14,1.196,1.343333,1.184,1.322667,1.322667,62928000,,2012-06-04,27.200001,27.65,26.440001,26.9,26.9,35230300,,1997-05-30,0.075,0.075521,0.073958,0.075,0.075,51888000,,1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124869,93161600
2010-07-15,1.329333,1.433333,1.266667,1.326,1.326,56097000,,2012-06-05,26.700001,27.76,25.75,25.870001,25.870001,42473400,,1997-06-02,0.075521,0.076563,0.075,0.075521,0.075521,11832000,,1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121834,68880000
2010-07-16,1.38,1.42,1.336667,1.376,1.376,39319500,,2012-06-06,26.07,27.17,25.52,26.809999,26.809999,61489200,,1997-06-03,0.076563,0.076563,0.073958,0.073958,0.073958,23664000,,1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118366,35750400
